name,ra,dec,bluemag,redmag
AT2024slu,298.6289208333333,0.663988888888889,,
AT2024slr,296.06775,-12.035397222222223,,
AT2024sjy,296.6211666666666,17.563083333333335,,
AT2024shc,292.77637083333326,0.005211111111111112,,
AT2024sgu,306.15448749999996,6.136472222222222,,
AT2024sew,308.262425,16.986505555555556,,
AT2024sdx,301.14729166666666,13.284472222222222,,
AT2024sdw,300.9478208333333,-11.854899999999999,,
AT2024sde,303.71436666666665,5.2694777777777775,,
AT2024sbq,291.3492,-9.356116666666667,,
AT2024sbp,302.8940916666666,-11.246899999999998,,
AT2024sad,315.60543333333334,3.036261111111111,,
AT2024rzn,316.4041708333333,12.842144444444445,,
AT2024rxk,298.17266666666666,-14.16581388888889,,
AT2024rxe,311.28010416666666,-6.797138888888889,,
SN2024rwz,309.78116249999994,10.832938888888888,,
AT2024rwy,302.8013208333333,-0.08445833333333333,,
AT2024rvx,306.90612083333326,11.615838888888888,,
AT2024rvr,313.8894458333333,15.636627777777777,,
AT2024rvo,319.23071666666664,10.296277777777778,,
AT2024rtg,318.2421666666666,-1.466988888888889,,
AT2024rte,319.7433,6.172994444444445,,
AT2024rsn,302.91752499999996,2.632597222222222,,
AT2024rsj,305.4819333333333,-0.7897,,
AT2024rsa,305.1742583333333,12.660852777777778,,
AT2024rqc,304.6863458333333,-13.713916666666666,,
AT2024row,312.5903708333333,3.2090666666666667,,
AT2024rlw,311.7005416666666,13.398372222222221,,
AT2024rkw,296.7846666666667,-9.4055,,
AT2024rjv,288.934625,-0.7807222222222223,,
AT2024rgu,315.9701875,9.322197222222222,,
AT2024rgh,308.5079333333333,-1.6482527777777778,,
AT2024rfw,320.22634999999997,-1.8887749999999999,,
AT2024rfa,317.72836666666666,6.931816666666667,,
AT2024rdx,304.3138875,-3.889483333333333,,
AT2024rdg,302.6705583333333,-6.244744444444445,,
AT2024rce,307.6234541666666,1.1865861111111111,,
AT2024rbw,316.9543,-10.615797222222222,,
AT2024rbv,307.57608749999997,9.157,,
AT2024rbt,320.5381416666666,0.7313444444444445,,
AT2024raw,310.61004999999994,0.5301888888888889,,
AT2024rav,311.2921208333333,-1.12675,,
AT2024rae,316.19966249999993,8.984372222222222,,
SN2024qzr,321.4214416666667,-6.551241666666667,,
AT2024qzd,309.9389916666666,-8.579905555555555,,
AT2024qtj,309.5151208333333,12.770786111111113,,
AT2024qpg,305.9864041666666,15.701430555555556,,
AT2024qpa,315.6153,10.134169444444444,,
AT2024qkj,299.1518458333333,-18.718208333333333,,
SN2024qiu,312.5127583333333,6.658141666666667,,
AT2024qii,315.26187916666663,-15.271119444444444,,
AT2024qig,314.4787208333333,-8.091236111111112,,
AT2024qif,310.6131583333333,-18.230136111111108,,
AT2024qhz,315.53555416666666,9.94946111111111,,
AT2024qhj,302.0746541666666,-18.04041666666667,,
SN2024qgw,305.4662,-14.580130555555556,,
AT2024qgt,305.42395,7.75215,,
AT2024qfs,300.87775416666665,-1.157063888888889,,
AT2024qeb,293.144875,6.797916666666667,,
AT2024qea,292.22762499999993,-6.091888888888889,,
AT2024qae,309.13713333333334,7.030305555555556,,
AT2024pzz,292.7781166666666,11.243527777777777,,
AT2024pze,296.0572375,0.26605555555555555,,
AT2024pse,299.99693333333335,12.495641666666666,,
AT2024prc,293.8703083333333,-16.735905555555558,,
AT2024pqg,321.618075,-1.7675055555555554,,
AT2024ppu,310.07715833333333,-11.634366666666667,,
AT2024ppc,289.56566666666663,6.324277777777778,,
AT2024pny,319.9284833333333,4.094358333333333,,
AT2024pmq,321.1163083333333,5.9325527777777785,,
SN2024pii,314.7756,-3.2300055555555556,,
AT2024phi,290.65377499999994,2.4990055555555557,,
SN2024pfr,297.6260541666666,8.338416666666667,,
AT2024vdv,296.9961791666667,18.55095,,
AT2024vdr,319.19688749999995,9.514844444444444,,
