name  		RA            DEC
AT2025ltv    21:08:39.420  -14:31:49.79
AT2025ltu    21:03:02.235  -12:17:19.93
AT2025ltt    20:59:48.249  -12:48:57.36
AT2025lts    20:56:20.402  -12:39:44.29
AT2025ltj    21:05:10.758  -10:38:49.29
AT2025lti    21:04:29.313  -09:03:54.61
AT2025lth    21:03:06.009  -10:28:58.87
AT2025ltg    20:50:25.802  -10:15:57.06
AT2025ltf    20:45:49.883  -09:10:41.75
AT2025lsu    20:37:05.163  -06:03:03.85
SN2025lsr    19:54:21.540  -18:42:51.24
AT2025mwc    19:22:37.643  -23:54:09.04
AT2025mus    21:07:24.001  -23:37:36.10
AT2025muk    21:08:39.247  -27:21:57.06
SN2025lfn    20:11:40.779  -08:07:46.34
SN2025kvi    19:49:04.438  -10:29:59.05
AT2025nld    20:28:26.112  -28:56:31.99
AT2025nlc    19:48:59.127  -31:09:41.32
AT2025njo    21:17:44.543  -14:22:18.48
AT2025njn    21:03:17.671  -12:07:28.94
AT2025njm    21:01:22.826  -11:56:51.13
AT2025njl    20:59:12.693  -12:20:39.23
AT2025njf    21:16:19.818  -13:01:44.70
AT2025nje    21:08:53.593  -14:01:54.42
AT2025njd    21:01:00.715  -14:50:49.53
AT2025njc    20:59:10.574  -12:21:02.01
AT2025njb    20:58:53.624  -13:32:15.39
AT2025niv    20:46:52.493  -08:47:05.63
AT2025nik    20:57:58.093  -11:47:41.06
AT2025nif    21:13:06.714  -13:33:06.87
AT2025nie    21:10:33.659  -14:01:36.29
AT2025nib    20:58:01.755  -11:51:02.43
AT2025nhr    20:46:48.028  -08:45:57.13
AT2025nhq    20:45:58.157  -09:19:04.77
AT2025nhi    21:09:57.188  -14:13:10.12
AT2025nhe    20:56:58.986  -12:38:57.96
AT2025nhc    21:02:19.271  -15:07:12.62
AT2025ngq    20:47:29.316  -22:27:56.47
AT2025nfc    19:06:09.064  -05:55:59.56
AT2025ndr    20:25:19.322  -02:29:59.80
AT2025ncv    20:31:23.399  -26:33:27.97
AT2025nck    21:03:54.584  -10:27:14.38
AT2025nah    20:15:21.503  -23:08:38.63
AT2025myr    20:55:25.360  -23:48:49.66
SN2025myo    19:33:52.332  -18:50:12.58
AT2025mxm    19:46:31.817  -09:21:00.20
SN2025mxf    20:21:14.589  -32:01:43.70
AT2025mwy    20:13:00.844  -21:55:49.89
AT2025mwt    20:25:11.281  -22:30:37.64
SN2025mma    20:43:10.115  -18:45:54.88
SN2025mjq    20:00:05.809  -25:48:10.04
SN2025mhq    19:55:16.368  -01:21:13.19
SN2025lxh    20:16:46.833  -22:17:22.60
AT2025nzl    19:38:55.601  -37:02:20.45
AT2025nzk    20:29:14.107  -22:23:49.50
AT2025nzj    20:55:33.345  -18:41:10.37
AT2025nze    21:19:43.223  -20:43:36.01
AT2025nyy    20:35:48.312  -14:37:50.59
AT2025nyk    20:58:14.319  -12:30:00.02
AT2025nxi    20:40:55.359  -24:37:59.94
SN2025nxh    20:59:17.784  -07:26:03.42
AT2025nwz    19:14:24.054  -32:33:17.69
AT2025nwy    21:17:39.149  -22:47:26.87
AT2025nqs    20:40:27.232  -07:14:54.57
AT2025nqq    19:22:50.176  -26:36:53.32
AT2025nqm    20:42:07.606  -08:40:18.37
AT2025nql    20:40:48.526  -11:57:50.06
AT2025nqj    19:52:13.372  -14:39:10.81
SN2025nox    20:26:34.582  -04:06:58.63
