name  		RA            DEC
AT2025khr    18:52:38.460  -14:59:21.50
AT2025jzg    19:01:13.031  -38:25:43.06
AT2025jsn    19:20:04.052  -17:05:42.14
AT2025jsm    19:24:52.404  -17:02:08.95
AT2025lki    18:25:57.320  -10:36:52.20
AT2025ljk    18:24:05.340  -22:33:35.20
AT2025ljj    18:56:23.580  -15:34:35.10
AT2025lix    19:06:27.663  -28:54:44.28
AT2025lit    18:57:04.170  -40:14:48.40
AT2025lhy    19:24:40.091  -14:07:41.09
AT2025kxx    18:21:06.814  -27:36:40.40
AT2025kvh    19:22:52.061  -12:55:03.50
AT2025mky    19:23:10.951  -20:41:18.39
AT2025mkj    19:07:21.850  -14:02:00.30
AT2025mhg    18:40:59.730  -22:40:01.20
SN2025lxe    19:09:10.629  -38:15:05.36
AT2025mwc    19:22:37.643  -23:54:09.04
AT2025mvf    17:29:49.730  -14:59:28.40
SN2025myo    19:33:52.332  -18:50:12.58
AT2025nwz    19:14:24.054  -32:33:17.69
AT2025nqu    16:57:18.944  -23:05:15.73
AT2025nqq    19:22:50.176  -26:36:53.32
AT2025ksk    21:09:43.069  -09:50:24.55
AT2025ksf    21:14:20.946  -12:26:41.55
AT2025kse    21:11:48.621  -12:39:27.75
AT2025krr    21:15:43.875  -13:25:49.25
AT2025krq    21:15:05.862  -12:31:52.41
AT2025krn    21:11:45.771  -12:43:05.45
AT2025krm    21:07:57.108  -09:55:00.51
AT2025krl    21:05:46.670  -10:02:55.10
AT2025kqr    21:08:36.991  -09:28:59.81
AT2025kqc    20:59:15.448  -13:31:59.16
AT2025koy    20:39:33.020  -17:36:24.94
AT2025kjz    19:39:55.507  -02:11:35.49
AT2025khr    18:52:38.460  -14:59:21.50
AT2025kdw    21:13:56.993  -12:32:11.36
AT2025jxm    20:07:56.642  -08:00:45.46
AT2025jsq    19:33:21.496  -36:58:04.07
AT2025jsn    19:20:04.052  -17:05:42.14
AT2025jsm    19:24:52.404  -17:02:08.95
AT2025jqw    19:55:45.084  -21:24:50.82
AT2025jov    20:46:20.828  -27:30:28.20
AT2025izx    20:39:20.285  -05:28:21.07
AT2025ixs    20:31:40.204  -11:04:59.89
AT2025ixr    20:15:10.931  -08:28:51.81
AT2025ixp    20:09:58.626  -10:27:40.94
SN2025ixm    20:34:49.690  -10:12:24.77
AT2025ljj    18:56:23.580  -15:34:35.10
AT2025lix    19:06:27.663  -28:54:44.28
AT2025lhy    19:24:40.091  -14:07:41.09
AT2025lfo    19:51:32.617  -05:33:12.84
SN2025kxz    20:25:43.605  -19:44:00.62
AT2025kvh    19:22:52.061  -12:55:03.50
AT2025kvd    20:15:17.388  -12:29:26.61
SN2025kfd    20:03:58.948  -28:14:54.57
AT2025mtp    19:43:59.931  -28:23:05.20
AT2025mtk    19:45:23.053  -19:07:36.61
AT2025msu    21:09:25.912  -23:46:46.95
AT2025msc    20:52:50.457  -09:08:34.95
AT2025mrv    21:08:11.092  -09:49:50.62
AT2025mrh    21:06:46.419  -08:55:15.06
AT2025mqs    20:32:46.578  -33:11:39.11
AT2025mky    19:23:10.951  -20:41:18.39
AT2025mkl    20:43:59.395  -10:21:04.23
AT2025mkj    19:07:21.850  -14:02:00.30
SN2025mjx    19:47:48.043  -27:30:39.96
AT2025mju    20:43:11.527  -18:35:54.93
AT2025mjs    20:36:12.237  -17:16:14.90
AT2025mjo    21:01:23.235  -18:39:27.74
AT2025mjn    20:30:37.858  -25:36:02.43
AT2025mjl    20:56:36.045  -25:07:00.78
AT2025mhz    19:49:18.958  -01:02:16.22
AT2025mhg    18:40:59.730  -22:40:01.20
AT2025mgy    19:36:12.799  -12:29:18.28
SN2025mcn    19:26:27.410  -06:23:51.98
AT2025maw    19:43:43.058  -25:03:05.43
AT2025mah    19:41:32.693  -19:58:22.81
AT2025lyx    20:59:34.263  -17:44:31.48
AT2025lvz    20:10:46.609  -07:43:59.43
AT2025lvn    20:59:29.308  -13:41:21.15
AT2025lvm    20:48:58.026  -08:31:08.93
AT2025lvl    20:46:09.858  -08:56:29.58
AT2025lvf    21:03:42.004  -10:11:14.72
AT2025lux    21:09:17.995  -13:11:18.00
AT2025luw    21:09:07.687  -13:31:08.87
AT2025luv    21:08:29.147  -13:14:41.79
AT2025luu    21:06:39.887  -08:39:07.52
AT2025luq    21:10:49.478  -11:59:40.42
AT2025luo    20:57:38.118  -14:24:10.57
AT2025ltz    21:07:19.341  -10:35:36.65
AT2025lty    21:16:02.272  -13:30:48.50
AT2025ltx    21:11:02.670  -13:34:42.81
AT2025ltw    21:10:32.104  -14:49:30.13
