ra		dec		name		    bluemag  redmag
172.5293274  -42.2446938  LEDA_566417               13.83  15.73
174.1100392  70.1575866   MARK_180                  11.12  12.85
180.7646117  60.5219888   SBS_1200+608              11.73  15.31
182.5331947  35.8776183   NGC_4148                  12.68  12.60
184.0258732  9.4860049    RXS_J12161+0929           13.34  16.35
185.3820427  28.2329168   ON_231                    13.85  14.78
193.4458588  3.4417877    CGCG_43-56                12.71  15.59
193.7396383  -44.4157224  6dF_J125457.5-442457      10.07  12.89
195.2437123  -23.2044105  MRC_1258-229              13.25  17.28
195.2532920  -32.4413612  ESO_443-24                8.39   11.56
196.7996562  11.8879264   PGC_1400322               13.09  16.00
199.4133318  41.2626666   PGC_2178259               10.11  13.01
200.4192920  -34.6313612  PGC_659653                12.61  12.68
201.3056875  39.9314548   PGC_2157982               11.31  14.42
201.3650940  -43.0192200  NGC_5128                  7.19   0
207.2336309  39.9851914   NGC_5311                  8.13   9.70
211.8740110  -27.0178588  IC_4374                   9.23   8.89
214.1140604  23.2562601   RXS_J14164+2315           13.13  16.81
214.9441569  54.3874410   OQ_530                    13.61  15.08
216.8761642  54.1565886   RGB_J1427+541             13.31  15.84
220.0143674  37.1242776   RXS_J14401+3707           11.55  16.27
229.4242231  -24.3720784  AP_LIB                    12.64  15.01
229.5372724  66.9645574   NPM_1G+67.0119            9.26   12.02
230.1638152  -5.7770376   PGC_1040546               13.20  16.25
233.0093000  30.2746839   RXS_J15320+3016           12.42  14.97
234.9641098  41.7237182   RXS_J15398+4143           12.73  15.56
239.7571240  59.4060631   MCG_10-23-012             9.11   11.21
240.9086196  15.9007172   GIN_463                   12.94  16.41
244.9607769  -83.8246950  PKS_1608-83               13.99  15.45
246.2357145  75.9155497   RXS_J16249+7554           12.83  14.70
246.2930213  40.8928720   NGC_6146                  8.44   9.10
252.2328908  39.9103416   RXS_J16489+3954           10.41  13.40
253.4675689  39.7601674   MARK_501                  7.12   10.97
254.9081389  68.4387223   3HSPJ165938.0+682618      11.83  14.28
259.8103753  48.9803989   Arp_102B                  10.71  12.46
263.5563754  42.3325834   GB6_J173410+421933        13.68  15.74
265.9909709  19.5858358   NPM1G+19.0510             13.00  16.20
267.6713475  39.9497513   CGCG_227-1                11.21  13.42
269.2778598  53.8604200   GB6_J175704+535153        12.70  16.40
269.3678191  55.3866312   NPM_1G+55.0300            11.49  14.10
